sub	file	item	trial	setting	Time_s	F1_Hz	F2_Hz	F3_Hz	F4_Hz
itws001	itws001_had	had	1	wordlist	0.311516	717.33607	1868.175427	2844.216853	4592.211984
itws001	itws001_had	had	2	wordlist	0.907381	743.483462	1903.715225	2854.520863	4998.807318
itws001	itws001_had	had	3	wordlist	1.543337	720.973991	1938.69279	2855.83894	4918.881978
itws001	itws001_hard	hard	1	wordlist	0.371057	734.527473	1493.328918	2322.701898	3354.790081
itws001	itws001_hard	hard	2	wordlist	1.073656	832.922804	1407.824706	2505.780649	4739.96297
itws001	itws001_hard	hard	3	wordlist	1.736944	797.284207	1498.206365	2462.733148	4634.470598
itws001	itws001_head	head	1	wordlist	0.326298	610.894333	2062.882002	2912.447649	4442.060314
itws001	itws001_head	head	2	wordlist	0.858875	722.251868	2130.632179	2995.667628	5067.933935
itws001	itws001_head	head	3	wordlist	1.52187	625.111709	2009.65073	3018.780719	5335.613433
itws001	itws001_heed	heed	1	wordlist	0.357391	263.382964	2833.001674	3610.350479	4945.870857
itws001	itws001_heed	heed	2	wordlist	1.035658	301.417588	2745.84707	3578.391373	4873.046985
itws001	itws001_heed	heed	3	wordlist	1.622032	286.96557	2822.598805	3517.107971	4755.095942
itws001	itws001_herd	herd	1	wordlist	0.316348	532.792463	1704.995395	2169.332003	5169.027026
itws001	itws001_herd	herd	2	wordlist	0.878059	537.796188	1819.891642	3105.794798	4993.053171
itws001	itws001_herd	herd	3	wordlist	1.46835	524.713714	1704.232122	3038.334837	5097.261572
itws001	itws001_hid	hid	1	wordlist	0.204882	451.876599	2390.799614	3362.92638	5110.0917
itws001	itws001_hid	hid	2	wordlist	0.800872	417.033045	2483.389953	3058.33001	4594.490461
itws001	itws001_hid	hid	3	wordlist	1.39349	410.681731	2360.038236	2976.916929	5225.632939
itws001	itws001_hoard	hoard	1	wordlist	0.38013	540.330631	951.144344	2516.717878	3461.927271
itws001	itws001_hoard	hoard	2	wordlist	1.041762	549.92048	927.095558	2493.492488	3212.379096
itws001	itws001_hoard	hoard	3	wordlist	1.70163	648.048222	1093.346613	2202.379989	2795.702431
itws001	itws001_hod	hod	1	wordlist	0.28926	698.406882	1144.46685	2700.150966	4120.783643
itws001	itws001_hod	hod	2	wordlist	0.926825	615.162079	1086.447865	2515.718124	3577.471974
itws001	itws001_hod	hod	3	wordlist	1.603814	751.018999	1452.466334	2505.60695	4886.263838
itws001	itws001_hood	hood	1	wordlist	0.306133	431.299339	1478.192998	2496.00455	3693.538859
itws001	itws001_hood	hood	2	wordlist	0.83395	404.18844	1453.1036	2537.167374	3668.658975
itws001	itws001_hood	hood	3	wordlist	1.373922	470.146946	1216.302702	2946.968955	5204.651674
itws001	itws001_hud	hud	1	wordlist	0.348698	646.051365	1700.003028	2689.427485	4513.032261
itws001	itws001_hud	hud	2	wordlist	0.858377	622.53022	1510.451378	2608.379945	4984.161254
itws001	itws001_hud	hud	3	wordlist	1.454315	749.353953	1581.757811	2587.478318	4726.687441
itws001	itws001_whod	whod	1	wordlist	0.308114	346.88118	1013.000682	2639.381236	3941.07783
itws001	itws001_whod	whod	2	wordlist	0.889583	353.826456	1285.834128	2619.97161	4111.032667
itws001	itws001_whod	whod	3	wordlist	1.442834	366.813688	1016.979961	2569.534673	4030.445665
